Hoph2o , ((((((((((((((((((((
The Runaways , Cherry Bomb
Warrant , Cherry Pie
Black Sabbath , Children of the Grave
Pierce The Veil , Circles
Styx , Come Sail Away
Kongos , Come with Me Now
Ninja Sex Party , Cool Patrol
Pantera , Cowboys From Hell
Aerosmith , Cryin'
Living Colour , Cult of Personality
Filthy Frank , d i c c w e t t 1
Fall Out Boy , Dance, Dance
AFI , Dancing Through Sunday
Modest Mouse , Dashboard
My Chemical Romance , Dead
Volbeat , Dead But Rising
Snot , Deadfall
DGM , DGM Solo Medley
Jeff Williams , Die
Wolfmother , Dimension
My Chemical Romance , Disenchanted
Pierce The Veil , Dive In
Pierce The Veil , The Divine Zero
Phantom Planet , Do the Panic
Rafael Cortes , Don Cortes Maya
Sithu Aye , Double Helix
She's Only Sixteen , Dying to Meet You
Judas Priest , Electric Eye
All That Remains , Empty Inside
Thousand Sun Sky , Enact the Ending
Neil Cicierega , The End
My Chemical Romance , The End
Killswitch Engage , The End Of Heartache
GuitarHeroPhenom , Envision
Weezer , Everybody Get Dangerous
Cascada , Everytime We Touch
Vitalij Kuprij , Extreme Measures
Spongebob & Plankton , F. U. N. Song
Spongebob , F. U. N. Song
Sum 41 , Fake My Own Death
Franz Ferdinand , The Fallen
Dope , Falling Away
Atreyu , Falling Down
My Chemical Romance , Famous Last Words
The Cure , Fascination Street
Anberlin , The Feel Good Drag
Foreigner , Feels Like the First Time
Conner4Real , Finest Girl (Bin Laden Song)
Pierce The Veil , Floral & Fading
Pierce The Veil , Floral & Fading (Acoustic)
Children Of Bodom , Follow The Reaper Album Solo Compilation
Children Of Bodom , Follow The Reaper Album Solo Compilation
Creedence Clearwater Revival , Fortunate Son
Lynyrd Skynyrd , Free Bird
Edgar Winter , Free Ride
The Sword , Freya
COSIO , Fun-House
DerganFirst , Fury Of The Flames
Dragonforce , Fury Of The Storm
DragonForce , Fury of the Storm
Dragonforce , The Game
Rainbow , Gates of Babylon
The Holloways , Generator
The Vines , Get Free
Slash ft Ian Astbury , Ghost
Electric Touch , Give Me A Sign
Sum 41 , Goddamn I'm Dead Again
Blue Oyster Cult , Godzilla
Pierce The Veil , Gold Medal Ribbon
Klaxons , Golden Skans
Third Eye Blind , Graduate
The Offspring , Half-Truism
331Erock , Halo Meets Metal
Neck Deep , Happy Judgement Day
Five Finger Death Punch , Hard to See
Children of Bodom , Hatebreeder Album Solo Compilation
Children of Bodom , Hatebreeder Album Solo Compilation
Nirvana , Heart Shaped Box
My Chemical Romance , Heaven Help Us
Filthy Frank , Hentai
Pegboard Nerds , Here It Comes
Dragonforce , Heroes Of Our Time
Plain White T's , Hey There Delilah
The Exies , Hey You
Pat Benetar , Hit Me With Your Best Shot
Megadeth , Holy Wars... The Punishment Due
My Chemical Romance , House of Wolves
Nickelback , How You Remind Me
12 Bricks Ft. Denzel Curry , I AM THE ONE THE ONE
My Chemical Romance , I Don't Love You
Drake Bell , I Found a Way
Band of Skulls , I Know What I Am
Joan Jett And The Blackhearts , I Love Rock N' Roll
Godsmack , I Stand Alone
Dream Theater , I Walk Beside You
Endeverafter , I Wanna Be Your Man
Twisted Sister , I Wanna Rock
Children of Bodom , If You Want Peace... Prepare for War
Pantera , I'm Broken
My Chemical Romance , I'm Not Okay (I Promise)
Jeff Williams , I'm The One
The Rasmus , In the Shadows
Anthrax , Indians
All That Remains , Indictment
Stone Temple Pilots , Interstate Love Song
Pagan's Mind , Into the Aftermath
All That Remains , It Dwells In Me
Yume Nikki , It's a Secret
Jeff Williams , It's My Turn
RX Bandits , It's Only Another Parsec...
Queensrÿche , Jet City Woman
Ricky_Croissant , Jump in the CAAC
All Time Low , Kids in the Dark
Queen , Killer Queen
Rage Against the Machine , Killing In The Name
Edguy , King of Fools
Lamb of God , Laid to Rest
Phoenix , Lasso
The Duke Spirit , Lassoo
Priestess , Lay Down
Area 11 , The Legendary Sannin
Intervals , Libra
Rich Gang , Lifestyle
Yellowcard , Lights and Sounds
Tom Petty & The Heartbreakers , Listen to Her Heart
Persefone , Living Waves
R.E.M. , Losing My Religion
Kiss , Love Gun
Red Rider , Lunatic Fringe
Bush , Machinehead
My Chemical Romance , Mama
The Police , Message in a Bottle
Tenacious D , The Metal
Power Rangers , Mighty Morphin Power Rangers
Paramore , Misery Business
AFI , Miss Murder
Tesla , Modern Day Cowboy
Spoongi Bib , The Moment You've All Been Waiting For
Dire Straits , Money for Nothing
Foo Fighters , Monkey Wrench
Tina S , Moonlight Sonata (3rd Mvmt) Tina S Cover
Boston , More than a Feeling
Danzig , Mother
Neck Deep , Motion Sickness
Sum 41 , Motivation
Neil Cicierega , Mouth Pressure
George Thorogood & The Destroyers , Move It On Over (Live)
Avril Lavigne , Multicultural Girlfriend
Gabe The Dog , My Heart Will Go Bork
Hoph20 , My Longest Yeah Boi Ever
Phoenix , Napoleon Says
Arch Enemy , Nemesis
Dream Theater , Never Enough
Matt Land , Night Flight to Tokyo (Extended Version)
Alice Cooper , No More Mr. Nice Guy
Queens of the Stone Age , No One Knows
Foo Fighters , No Way Back
All That Remains , Not Alone
Bodyjar , Not The Same
Poison , Nothin' but a Good Time
Dream Theater , Octavarium
Kings of Leon , On Call
Necrophagist , Only Ash Remains
Maxïmo Park , Our Velocity
A Perfect Circle , The Outsider
Area 11 , Override Symphony
Dream Theater , Panic Attack
Finger Eleven , Paralyzer
Metallica & Ozzy Osbourne , Paranoid (Live)
Bass Boosted , Pawn Stars
高田雅史 , PentaCube Gt.(RX-Ver.S.P.L.)
Verified Unverified Team , Pentagon
CHON , Perfect Pillow
Pierce The Veil , Phantom Power and Ludicrous Speed
Extreme , Play With Me
Def Leppard , Pour Some Sugar on Me (Live)
The Reverend Horton Heat , Psychobilly Freakout
Slipknot , Psychosocial
Risk Junk , quaver♪
Deluxe , Que No
Slayer , Raining Blood
Meshuggah , Rational Gaze
Atreyu , Ravenous
Eminem , The Real Slim Shady
Bad Brains , Re-Ignition (Live)
Styx , Renegade
The Strokes , Reptilia
Jeff Loomis , Requiem For The Living
Jason Richardson , Retrograde (feat. Spencer Sotelo)
System of a Down , Revenga
Dragonforce , Revolution Deathsquad
Hoph2o Ft. Jason Paradise , Right Up The Butt
KISS , Rock and Roll All Night
KISS , Rock and Roll All Night ft. Steve Ouimette
Valve Studio Orchestra , Rocket Jump Waltz
Neil Young , Rockin' in the Free World
Dream Theater , The Root of All Evil
Ratt , Round and Round
Kaiser Chiefs , Ruby
SunStroke Project , Run Away (Epic Sax Guy)
RichaadEB , Running in the 90's Power Metal Cover
Dream Theater , Sacrificed Sons
Taylor Swift Ft. The Civil Wars , Safe & Sound
Pierce The Veil , Sambuka
Rise Against , Savior
Dream Theater , Scene Three: II. Fatal Tragedy
Bullet For My Valentine , Scream Aim Fire
Them Crooked Vultures , Scumbag Blues
The Offspring , Self Esteem
Neck Deep , Serpents
Sithu Aye , Set Course for Andromeda!!!
The Dillinger Escape Plan , Setting Fire to Sleeping Giants
The White Stripes , Seven Nation Army
ZZ Top , Sharp Dressed Man (Live)
My Chemical Romance , The Sharpest Lives
Tal Bachman , She's So High
Black Tide , Shockwave
Motley Crue , Shout at the Devil
Gojira , Silvera
All That Remains , Six
My Chemical Romance , Sleep
Velvet Revolver , Slither
Interpol , Slow Hands
Filthy Frank , Small Dick
Deep Purple , Smoke on the Water
Neil Cicierega , Smooth
All Time Low , Something's Gotta Give
Allister , Somewhere On Fullerton
Thank You Scientist , The Somnambulist
Pierce The Veil , Song for Isabelle
Steve Vai , Speeding (Vault Version)
Incubus , Stellar
Filthy Frank , STFU
GLaDOS , Still Alive
Sum 41 , Still Waiting
Jane's Addiction , Stop!
The Rolling Stones , Stray Cat Blues
Four Year Strong , Stuck in the Middle
Megadeth , Sudden Death
Megadeth , Sudden Death (Career Version)
Orianthi , Suffocated
Evanescence , Sweet Sacrifice
Prototype , Synthespian
The Donnas , Take it Off
Franz Ferdinand , Take Me Out
Mike Orlando , Tapped Out
GH Andrew , Tapping Challenge 1
Valve Studio Orchestra , Team Fortress 2 (Main Theme)
My Chemical Romance , Teenagers
bXmMusic , Tetrapic (Tetris Remix)
Pierce The Veil , Texas is Forever
Alice in Chains , Them Bones
The Ramones , Theme from Spiderman
Silversun Pickups , There's No Secrets This Year
Dream Theater , These Walls
Fall Out Boy , This Ain't a Scene, It's an Arms Race
All That Remains , This Calling
Megadeth , This Day We Fight!
My Chemical Romance , This Is How I Disappear
Jeff Williams , This Will Be The Day
Dragonforce , Through the Fire and Flames
PhucYoou , Through The Tables And Memes
White Zombie , Thunder Kiss '65
The Hives , Tick Tick Boom
Alter Bridge , Ties That Bind
Ewan Dobson , Time 2 Overchart
Ewan Dobson , Time 2 Underchart
Jeff Williams , Time to Say Goodbye
Pierce The Veil , Today I Saw the Whole World
Pierce The Veil , Today I Saw the Whole World (Acoustic)
Blind Melon , Tones of Home
System Uv A Down , Toxicity
R Kelly , Trapped In The Closet Chapter 1
Stone Temple Pilots , Trippin' on a Hole in a Paper Heart
Iron Maiden , The Trooper
DragonForce , Troopers of the Stars
Chumbawamba , Tubthumping
Turkish Man , Turkish Man Yelling Mew At An Egg
The Bravery , Unconditional
Poison , Unskinny Bop
Helmet , Unsung
Muse , Uprising
Varien , Valkyrie (feat. Laura Brehm)
Negramaro , Via Le Mani Dagli Occhi
Coldplay , Violet Hill
Coldplay , Viva la Vida
Rammstein , Waidmanns Heil
Modern Day Babylon , Water Drops (feat. Plini)
CHON , Waterslide
All That Remains , We Stand
All That Remains , The Weak Willed
My Chemical Romance , Welcome To The Black Parade
Twisted Sister , We're Not Gonna Take It
Buzzcocks , What Do I Get?
The Donnas , What Do I Have to Do
Jeff Williams , When It Falls
Avril Lavigne , When You're Gone
Lenny Kravitz , Where Are We Runnin'?
Neck Deep , Where Do We Go When We Go
All That Remains , Whispers (I Hear You)
Filthy Frank , White Is Right
Seth Everman , wii theme but it's played on the nintendo labo piano
Nine Inch Nails , Wish
Wolfmother , Woman
Billie Eilish , you should see me in a crown
Rush , YYZ
